hand_id,bankroll_bb
256674696169,0.0000
256674700736,0.0000
256674703278,0.0000
256674711574,0.0000
256674722327,0.0000
256674723882,0.0000
256674726008,0.0000
256674728928,0.0000
256674733734,0.0000
256674739305,0.0000
256674747001,0.0000
256674847769,0.0000
256674853361,0.0000
256674857965,0.0000
256674862316,0.0000
256674873246,0.0000
256674876595,0.0000
256674878661,0.0000
256674881686,0.0000
256674888125,0.0000
256674891620,0.0000
256674896793,0.0000
256674900252,0.0000
256674910642,0.0000
256674914886,0.0000
256674920021,0.0000
256674930606,0.0000
256674933852,0.0000
256674940337,0.0000
256674950188,0.0000
256674956558,0.0000
256674959345,0.0000
256674963677,0.0000
256674968390,0.0000
256674975055,0.0000
256674594819,0.0000
256674601113,0.0000
256674981419,0.0000
256674984919,0.0000
256674987846,0.0000
256674996753,0.0000
256675013570,0.0000
256675024711,0.0000
256675027363,0.0000
256675029998,0.0000
256675033468,0.0000
256675038981,0.0000
256675042800,0.0000
256675045144,0.0000
256675049987,0.0000
256675052845,0.0000
256675062680,0.0000
256675064226,0.0000
256675067229,0.0000
256675073541,0.0000
256675078371,0.0000
256675082543,0.0000
256675092913,0.0000
256675095531,0.0000
256675098046,0.0000
256675102325,0.0000
256675106346,0.0000
256675110661,0.0000
256675130015,0.0000
256675133434,0.0000
256675139255,0.0000
256675146939,0.0000
256675151888,0.0000
256675156991,0.0000
256675164892,0.0000
256675168714,0.0000
256675258084,0.0000
256675261364,0.0000
256675265070,0.0000
256675271357,0.0000
256675278698,0.0000
256675283333,0.0000
256675292792,0.0000
256675295037,0.0000
256675297549,0.0000
256675300377,0.0000
256675309215,0.0000
256675311237,0.0000
256675315620,0.0000
256675317898,0.0000
256675322055,0.0000
256675328408,0.0000
256675330575,0.0000
256675340119,0.0000
256675355165,0.0000
256675358482,0.0000
256675362516,0.0000
256675369792,0.0000
256675373567,0.0000
256675377130,0.0000
256675382438,0.0000
256675386324,0.0000
256675823789,0.0000
256675830152,0.0000
256675831351,0.0000
256675832481,0.0000
