topology,opener,defender,stack_bb,rake_tier,n,menus
3bet_hu,UTG,HJ,30,nl10_5pct_1bbcap,4,2
3bet_hu,UTG,HJ,40,nl10_5pct_1bbcap,4,2
3bet_hu,UTG,HJ,50,nl10_5pct_1bbcap,4,1
3bet_hu,UTG,HJ,70,nl10_5pct_1bbcap,3,1
3bet_hu,UTG,HJ,100,nl10_5pct_1bbcap,4,2
3bet_hu,UTG,HJ,150,nl10_5pct_1bbcap,4,2
3bet_hu,UTG,HJ,200,nl10_5pct_1bbcap,4,2
3bet_hu,UTG,SB,12,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,SB,15,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,SB,18,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,SB,20,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,SB,30,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,SB,40,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,SB,50,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,SB,70,nl10_5pct_1bbcap,1,1
3bet_hu,UTG,SB,100,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,SB,150,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,SB,200,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,UTG,12,nl10_5pct_1bbcap,5,1
3bet_hu,UTG,UTG,15,nl10_5pct_1bbcap,5,1
3bet_hu,UTG,UTG,18,nl10_5pct_1bbcap,5,1
3bet_hu,UTG,UTG,20,nl10_5pct_1bbcap,5,2
3bet_hu,UTG,UTG,30,nl10_5pct_1bbcap,5,2
3bet_hu,UTG,UTG,40,nl10_5pct_1bbcap,5,2
3bet_hu,UTG,UTG,50,nl10_5pct_1bbcap,5,2
3bet_hu,UTG,UTG,70,nl10_5pct_1bbcap,5,2
3bet_hu,UTG,UTG,100,nl10_5pct_1bbcap,5,2
3bet_hu,UTG,UTG,150,nl10_5pct_1bbcap,5,2
3bet_hu,UTG,UTG,200,nl10_5pct_1bbcap,5,2
4bet_hu,BB,SB,20,nl10_5pct_1bbcap,1,1
4bet_hu,BB,SB,30,nl10_5pct_1bbcap,1,1
4bet_hu,BB,SB,40,nl10_5pct_1bbcap,1,1
4bet_hu,BB,SB,70,nl10_5pct_1bbcap,1,1
4bet_hu,BB,SB,100,nl10_5pct_1bbcap,1,1
4bet_hu,BB,SB,150,nl10_5pct_1bbcap,1,1
4bet_hu,BB,SB,200,nl10_5pct_1bbcap,1,1
4bet_hu,BTN,BB,20,nl10_5pct_1bbcap,1,1
4bet_hu,BTN,BB,30,nl10_5pct_1bbcap,1,1
4bet_hu,BTN,BB,40,nl10_5pct_1bbcap,1,1
4bet_hu,BTN,BB,50,nl10_5pct_1bbcap,1,1
4bet_hu,BTN,BB,70,nl10_5pct_1bbcap,1,1
4bet_hu,BTN,BB,100,nl10_5pct_1bbcap,1,1
4bet_hu,BTN,BB,150,nl10_5pct_1bbcap,1,1
4bet_hu,BTN,BB,200,nl10_5pct_1bbcap,1,1
4bet_hu,BTN,SB,20,nl10_5pct_1bbcap,2,1
4bet_hu,BTN,SB,30,nl10_5pct_1bbcap,2,2
4bet_hu,BTN,SB,40,nl10_5pct_1bbcap,2,1
